idRestaurant,InspectionDate,ViolationCode,ViolationDescription,CriticalFlag,Score,Grade
41209002,2013-03-12,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17.0,
41209002,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17.0,
41209002,2013-03-12,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,17.0,
41209002,2013-03-12,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17.0,
41231555,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16.0,
41231555,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16.0,
41231555,2013-03-12,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,16.0,
41231555,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16.0,
41236269,2013-03-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,48.0,
41236269,2013-03-12,04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",Critical,48.0,
41236269,2013-03-12,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,48.0,
41236269,2013-03-12,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,48.0,
41236269,2013-03-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,48.0,
41236269,2013-03-12,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,48.0,
41236269,2013-03-12,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,48.0,
41236269,2013-03-12,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,48.0,
41331356,2013-03-12,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17.0,
41331356,2013-03-12,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,17.0,
