Title,Description,Organization,Link
Electric Vehicle Population Data,State of Washington —This dataset shows the Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) that are currently registered through Washington State Department...,Unknown,https://catalog.data.gov/dataset/electric-vehicle-population-data
Crime Data from 2020 to Present,"City of Los Angeles —Starting on March 7th, 2024, the Los Angeles Police Department (LAPD) will adopt a new Records Management System for reporting crimes and arrests. This new system is...",Unknown,https://catalog.data.gov/dataset/crime-data-from-2020-to-present
Lottery Powerball Winning Numbers: Beginning 2010,State of New York —Go tohttp://on.ny.gov/1GpWiHDon the New York Lottery website for past Powerball results and payouts.,Unknown,https://catalog.data.gov/dataset/lottery-powerball-winning-numbers-beginning-2010
EZAUCR Arrest Statistics,Department of Justice —Easy Access to FBI Arrest Statistics: 1994-2014,Unknown,https://catalog.data.gov/dataset/ezaucr-arrest-statistics
Fruit and Vegetable Prices,Department of Agriculture —How much do fruits and vegetables cost? ERS estimated average prices for 153 commonly consumed fresh and processed fruits and vegetables.,Unknown,https://catalog.data.gov/dataset/fruit-and-vegetable-prices
Baby Names from Social Security Card Applications - National Data,"Social Security Administration —The data (name, year of birth, sex, and number) are from a 100 percent sample of Social Security card applications for 1880 on.",Unknown,https://catalog.data.gov/dataset/baby-names-from-social-security-card-applications-national-data
Motor Vehicle Collisions - Crashes,City of New York —The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain...,Unknown,https://catalog.data.gov/dataset/motor-vehicle-collisions-crashes
Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6,"U.S. Environmental Protection Agency —The datasets comprise greenhouse gas (GHG) emission factors (Factors) for 1,016 U.S. commodities as defined by the 2017 version of the North American Industry...",Unknown,https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-3-by-naics-6
U.S. Chronic Disease Indicators,"U.S. Department of Health & Human Services —CDC's Division of Population Health provides a cross-cutting set of 115 indicators developed by consensus among CDC, the Council of State and Territorial...",Unknown,https://catalog.data.gov/dataset/u-s-chronic-disease-indicators
Warehouse and Retail Sales,Montgomery County of Maryland —This dataset contains a list of sales and movement data by item and department appended monthly. Update Frequency : Monthly,Unknown,https://catalog.data.gov/dataset/warehouse-and-retail-sales
Crime Incidents in the Last 30 Days,District of Columbia —The dataset contains a subset of locations and attributes of incidents reported in the ASAP (Analytical Services Application) crime report database by the District of...,Unknown,https://catalog.data.gov/dataset/crime-incidents-in-the-last-30-days
Real Estate Sales 2001-2023 GL,"State of Connecticut —The Office of Policy and Management maintains a listing of all real estate sales with a sales price of $2,000 or greater that occur between October 1 and September 30...",Unknown,https://catalog.data.gov/dataset/real-estate-sales-2001-2018
CollectionCivil Rights Data Collection (CRDC) for the 2017-18 school year,"Department of Education —The Civil Rights Data Collection, 2017-18 (CRDC 2017-18) is part of the Civil Rights Data Collection (CRDC) program; program data are available beginning with the...",Unknown,https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2017-18-school-year
Border Crossing Entry Data,Department of Transportation —The Bureau of Transportation Statistics (BTS) Border Crossing Data provide summary statistics for inbound crossings at the U.S.-Canada and the U.S.-Mexico border at...,Unknown,https://catalog.data.gov/dataset/border-crossing-entry-data-683ae
Harmonized Tariff Schedule of the United States (2025),US International Trade Commission —This dataset is the current 2025 Harmonized Tariff Schedule plus all revisions for the current year. It provides the applicable tariff rates and statistical...,Unknown,https://catalog.data.gov/dataset/harmonized-tariff-schedule-of-the-united-states-2024
United States Mint Annual Reports,Department of the Treasury —Complete audited financial and program report,Unknown,https://catalog.data.gov/dataset/united-states-mint-annual-reports
Quick Stats Agricultural Database API,"Department of Agriculture —Quick Stats API is the programmatic interface to the National Agricultural Statistics Service's (NASS) online database containing results from the 1997, 2002, 2007,...",Unknown,https://catalog.data.gov/dataset/quick-stats-agricultural-database-api
Walkability Index,U.S. Environmental Protection Agency —The Walkability Index dataset characterizes every Census 2019 block group in the U.S. based on its relative walkability. Walkability depends upon characteristics of...,Unknown,https://catalog.data.gov/dataset/walkability-index8
Dynamic Small Business Search (DSBS),"Small Business Administration —The Small Business Administration maintains the Dynamic Small Business Search (DSBS) database. As a small business registers in the System for Award Management, there...",Unknown,https://catalog.data.gov/dataset/dynamic-small-business-search-dsbs-4f0da
